,商品,价格
0,,99.0
1,,286.0
2,,298.0
3,,279.0
4,,59.0
5,,198.0
6,,199.0
7,,288.0
8,,298.0
9,,189.0
10,,258.0
11,,177.0
12,,298.0
13,,124.0
14,,138.0
15,,298.0
16,,318.0
17,,298.0
18,,399.0
19,,129.0
20,,189.0
21,,198.0
22,,588.0
23,,263.0
24,,198.0
25,,399.0
26,,128.0
27,,396.0
28,,49.0
29,,108.0
30,,108.0
31,,298.0
32,,198.0
33,,148.0
34,,198.0
35,,258.0
36,,138.0
37,,119.0
38,,558.0
39,,236.0
40,,228.0
41,,109.0
42,,198.0
43,,168.0
44,,198.0
45,,128.0
46,,168.0
47,,228.0
48,,198.0
49,,298.0
50,,198.0
51,,398.0
52,,168.0
53,,698.0
54,,109.0
55,,198.0
56,,326.0
57,,256.0
58,,158.0
59,,96.0
60,,228.0
61,,528.0
62,,299.0
63,,398.0
64,,29.0
65,,128.0
66,,318.0
67,,349.0
68,,99.0
69,,188.0
70,,320.0
71,,318.0
72,,177.0
73,,288.0
74,,218.0
75,,138.0
76,,59.9
77,,108.0
78,,298.0
79,,98.0
80,,190.0
81,,88.0
82,,316.0
83,,129.0
84,,116.0
85,,100.0
86,,98.0
87,,252.0
88,,49.0
89,,108.0
90,,116.0
91,,306.0
92,,275.0
93,,178.0
94,,398.0
95,,368.0
96,,181.0
97,,195.0
98,,498.0
99,,688.0
